,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,TPA,MDW,HNL,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,OAK,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH
CLT,0.1808432270730111,0.04521080676825277,0.06781621015237917,0.04521080676825277,0.04521080676825277,0.09042161353650555,0.04521080676825277,0.04521080676825277,0.09042161353650555,0.04521080676825277,0.0,0.06781621015237917,0.04521080676825277,0.06781621015237917,0.04521080676825277,0.06781621015237917,0.06781621015237917,0.06781621015237917,0.04521080676825277,0.04521080676825277,0.06781621015237917,0.09042161353650555,0.06781621015237917,0.04521080676825277,0.06781621015237917,0.04521080676825277,0.04521080676825277,0.04521080676825277,0.0,0.04521080676825277,0.04521080676825277,0.04521080676825277,0.0,0.04521080676825277,0.0,0.04521080676825277,0.04521080676825277,0.04521080676825277,0.0,0.04521080676825277,0.04521080676825277,0.0,0.04521080676825277,0.04521080676825277,0.06781621015237917,0.04521080676825277,0.04521080676825277,0.04521080676825277,0.06781621015237917,0.04521080676825277
EWR,0.1514256333551463,0.043264466672898946,0.06489670000934841,0.06489670000934841,0.043264466672898946,0.0,0.043264466672898946,0.06489670000934841,0.043264466672898946,0.021632233336449473,0.06489670000934841,0.0,0.08652893334579789,0.021632233336449473,0.06489670000934841,0.043264466672898946,0.043264466672898946,0.043264466672898946,0.043264466672898946,0.043264466672898946,0.0,0.021632233336449473,0.021632233336449473,0.021632233336449473,0.021632233336449473,0.021632233336449473,0.043264466672898946,0.043264466672898946,0.021632233336449473,0.021632233336449473,0.043264466672898946,0.043264466672898946,0.0,0.043264466672898946,0.0,0.021632233336449473,0.021632233336449473,0.10816116668224736,0.0,0.0,0.021632233336449473,0.021632233336449473,0.043264466672898946,0.021632233336449473,0.021632233336449473,0.021632233336449473,0.021632233336449473,0.043264466672898946,0.043264466672898946,0.021632233336449473
PHX,0.18855660465551086,0.1257044031036739,0.06285220155183695,0.06285220155183695,0.14665513695428622,0.08380293540244928,0.08380293540244928,0.1047536692530616,0.08380293540244928,0.08380293540244928,0.04190146770122464,0.08380293540244928,0.0,0.06285220155183695,0.04190146770122464,0.06285220155183695,0.1257044031036739,0.08380293540244928,0.08380293540244928,0.08380293540244928,0.0,0.08380293540244928,0.08380293540244928,0.08380293540244928,0.02095073385061232,0.04190146770122464,0.08380293540244928,0.04190146770122464,0.06285220155183695,0.08380293540244928,0.02095073385061232,0.06285220155183695,0.0,0.06285220155183695,0.06285220155183695,0.04190146770122464,0.02095073385061232,0.02095073385061232,0.06285220155183695,0.08380293540244928,0.06285220155183695,0.08380293540244928,0.0,0.08380293540244928,0.02095073385061232,0.06285220155183695,0.06285220155183695,0.0,0.0,0.06285220155183695
IAH,0.1842320276713097,0.10235112648406093,0.08188090118724875,0.06141067589043657,0.06141067589043657,0.0,0.020470225296812188,0.08188090118724875,0.040940450593624375,0.040940450593624375,0.06141067589043657,0.020470225296812188,0.06141067589043657,0.0,0.06141067589043657,0.020470225296812188,0.06141067589043657,0.06141067589043657,0.020470225296812188,0.06141067589043657,0.040940450593624375,0.020470225296812188,0.040940450593624375,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.0,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.0,0.020470225296812188,0.08188090118724875,0.0,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.020470225296812188,0.040940450593624375,0.020470225296812188
MIA,0.23885575394970548,0.07961858464990183,0.05971393848742637,0.039809292324950916,0.05971393848742637,0.05971393848742637,0.05971393848742637,0.039809292324950916,0.039809292324950916,0.039809292324950916,0.039809292324950916,0.05971393848742637,0.039809292324950916,0.05971393848742637,0.0,0.039809292324950916,0.05971393848742637,0.05971393848742637,0.0,0.039809292324950916,0.05971393848742637,0.039809292324950916,0.0,0.039809292324950916,0.05971393848742637,0.039809292324950916,0.039809292324950916,0.0,0.0,0.0,0.039809292324950916,0.0,0.0,0.039809292324950916,0.0,0.0,0.039809292324950916,0.0995232308123773,0.0,0.0,0.0,0.0,0.0,0.0,0.039809292324950916,0.039809292324950916,0.039809292324950916,0.039809292324950916,0.039809292324950916,0.039809292324950916
BOS,0.15465270636627093,0.13532111807048705,0.09665794147891933,0.07732635318313547,0.0579947648873516,0.07732635318313547,0.0579947648873516,0.0579947648873516,0.07732635318313547,0.03866317659156773,0.0579947648873516,0.03866317659156773,0.0579947648873516,0.019331588295783866,0.03866317659156773,0.0,0.03866317659156773,0.03866317659156773,0.03866317659156773,0.0579947648873516,0.0579947648873516,0.0579947648873516,0.019331588295783866,0.0579947648873516,0.03866317659156773,0.0579947648873516,0.019331588295783866,0.03866317659156773,0.0,0.0579947648873516,0.019331588295783866,0.019331588295783866,0.0,0.019331588295783866,0.019331588295783866,0.03866317659156773,0.03866317659156773,0.019331588295783866,0.0,0.0,0.019331588295783866,0.0,0.019331588295783866,0.0,0.019331588295783866,0.019331588295783866,0.0579947648873516,0.019331588295783866,0.019331588295783866,0.019331588295783866
MSP,0.14323268206039078,0.10742451154529307,0.08952042628774423,0.08952042628774423,0.10742451154529307,0.035808170515097694,0.05371225577264654,0.05371225577264654,0.07161634103019539,0.05371225577264654,0.05371225577264654,0.035808170515097694,0.08952042628774423,0.05371225577264654,0.05371225577264654,0.035808170515097694,0.0,0.017904085257548847,0.017904085257548847,0.05371225577264654,0.017904085257548847,0.035808170515097694,0.017904085257548847,0.05371225577264654,0.035808170515097694,0.07161634103019539,0.017904085257548847,0.07161634103019539,0.0,0.017904085257548847,0.017904085257548847,0.017904085257548847,0.0,0.05371225577264654,0.017904085257548847,0.0,0.017904085257548847,0.05371225577264654,0.0,0.017904085257548847,0.05371225577264654,0.017904085257548847,0.035808170515097694,0.017904085257548847,0.035808170515097694,0.017904085257548847,0.017904085257548847,0.0,0.017904085257548847,0.017904085257548847
DTW,0.13552958773487894,0.033882396933719736,0.06776479386743947,0.06776479386743947,0.08470599233429933,0.016941198466859868,0.016941198466859868,0.016941198466859868,0.033882396933719736,0.050823595400579596,0.050823595400579596,0.033882396933719736,0.06776479386743947,0.050823595400579596,0.050823595400579596,0.033882396933719736,0.016941198466859868,0.0,0.033882396933719736,0.050823595400579596,0.06776479386743947,0.050823595400579596,0.016941198466859868,0.033882396933719736,0.033882396933719736,0.050823595400579596,0.033882396933719736,0.050823595400579596,0.0,0.033882396933719736,0.033882396933719736,0.016941198466859868,0.0,0.050823595400579596,0.0,0.0,0.016941198466859868,0.08470599233429933,0.0,0.0,0.016941198466859868,0.0,0.033882396933719736,0.016941198466859868,0.016941198466859868,0.016941198466859868,0.016941198466859868,0.016941198466859868,0.016941198466859868,0.016941198466859868
FLL,0.13413854351687388,0.050301953818827704,0.06706927175843694,0.050301953818827704,0.06706927175843694,0.03353463587921847,0.050301953818827704,0.016767317939609235,0.050301953818827704,0.03353463587921847,0.03353463587921847,0.03353463587921847,0.06706927175843694,0.016767317939609235,0.0,0.03353463587921847,0.016767317939609235,0.03353463587921847,0.0,0.06706927175843694,0.050301953818827704,0.050301953818827704,0.0,0.0,0.016767317939609235,0.050301953818827704,0.08383658969804618,0.016767317939609235,0.0,0.0,0.016767317939609235,0.03353463587921847,0.0,0.03353463587921847,0.0,0.016767317939609235,0.050301953818827704,0.03353463587921847,0.0,0.0,0.016767317939609235,0.0,0.0,0.0,0.016767317939609235,0.016767317939609235,0.016767317939609235,0.06706927175843694,0.016767317939609235,0.016767317939609235
PHL,0.13452463307469384,0.044841544358231275,0.044841544358231275,0.044841544358231275,0.05978872581097504,0.01494718145274376,0.05978872581097504,0.044841544358231275,0.05978872581097504,0.05978872581097504,0.02989436290548752,0.02989436290548752,0.05978872581097504,0.044841544358231275,0.02989436290548752,0.044841544358231275,0.044841544358231275,0.044841544358231275,0.044841544358231275,0.0,0.02989436290548752,0.02989436290548752,0.044841544358231275,0.02989436290548752,0.01494718145274376,0.02989436290548752,0.044841544358231275,0.02989436290548752,0.0,0.02989436290548752,0.044841544358231275,0.02989436290548752,0.0,0.05978872581097504,0.0,0.0,0.044841544358231275,0.02989436290548752,0.0,0.0,0.044841544358231275,0.0,0.044841544358231275,0.02989436290548752,0.02989436290548752,0.02989436290548752,0.02989436290548752,0.02989436290548752,0.044841544358231275,0.02989436290548752
