,LAX,ORD,DEN,DFW,ATL,PHX,JFK,PHL,MCO,CLT,LAS,MSP,BOS,SFO,DTW,BWI,FLL,DCA,MIA,TPA,STL,EWR,LGA,IAH,MDW,MSY,SAN,MCI,SEA,RDU,SLC,BNA,IAD,CUN,PIT,MKE,AUS,IND,CLE,CMH,CVG,YYZ,SAT,LHR,PDX,RSW,HOU,SJU,HNL,NRT
LAS,0.569286380597015,0.25301616915422886,0.31627021144278605,0.18976212686567165,0.18976212686567165,0.25301616915422886,0.3795242537313433,0.25301616915422886,0.12650808457711443,0.12650808457711443,0.0,0.18976212686567165,0.12650808457711443,0.25301616915422886,0.18976212686567165,0.18976212686567165,0.12650808457711443,0.12650808457711443,0.12650808457711443,0.06325404228855722,0.12650808457711443,0.06325404228855722,0.0,0.12650808457711443,0.12650808457711443,0.12650808457711443,0.18976212686567165,0.12650808457711443,0.18976212686567165,0.12650808457711443,0.18976212686567165,0.06325404228855722,0.06325404228855722,0.0,0.06325404228855722,0.12650808457711443,0.12650808457711443,0.12650808457711443,0.12650808457711443,0.06325404228855722,0.06325404228855722,0.12650808457711443,0.12650808457711443,0.06325404228855722,0.12650808457711443,0.0,0.12650808457711443,0.0,0.12650808457711443,0.0
MSP,0.19850746268656716,0.24813432835820895,0.29776119402985074,0.24813432835820895,0.19850746268656716,0.24813432835820895,0.09925373134328358,0.14888059701492537,0.19850746268656716,0.14888059701492537,0.14888059701492537,0.0,0.09925373134328358,0.14888059701492537,0.04962686567164179,0.09925373134328358,0.04962686567164179,0.19850746268656716,0.14888059701492537,0.04962686567164179,0.14888059701492537,0.09925373134328358,0.04962686567164179,0.14888059701492537,0.19850746268656716,0.09925373134328358,0.09925373134328358,0.14888059701492537,0.09925373134328358,0.04962686567164179,0.04962686567164179,0.04962686567164179,0.09925373134328358,0.09925373134328358,0.04962686567164179,0.14888059701492537,0.04962686567164179,0.04962686567164179,0.09925373134328358,0.04962686567164179,0.04962686567164179,0.09925373134328358,0.04962686567164179,0.04962686567164179,0.04962686567164179,0.09925373134328358,0.0,0.0,0.0,0.04962686567164179
BOS,0.32150186567164174,0.2679182213930348,0.16075093283582087,0.21433457711442783,0.16075093283582087,0.16075093283582087,0.21433457711442783,0.16075093283582087,0.21433457711442783,0.16075093283582087,0.10716728855721391,0.10716728855721391,0.0,0.16075093283582087,0.10716728855721391,0.16075093283582087,0.10716728855721391,0.16075093283582087,0.10716728855721391,0.05358364427860696,0.05358364427860696,0.10716728855721391,0.16075093283582087,0.05358364427860696,0.10716728855721391,0.05358364427860696,0.10716728855721391,0.05358364427860696,0.10716728855721391,0.10716728855721391,0.05358364427860696,0.05358364427860696,0.10716728855721391,0.21433457711442783,0.16075093283582087,0.10716728855721391,0.05358364427860696,0.05358364427860696,0.05358364427860696,0.05358364427860696,0.05358364427860696,0.05358364427860696,0.0,0.10716728855721391,0.10716728855721391,0.05358364427860696,0.10716728855721391,0.05358364427860696,0.0,0.05358364427860696
SFO,0.43067475124378113,0.2871165008291874,0.21533737562189056,0.2871165008291874,0.2871165008291874,0.2871165008291874,0.43067475124378113,0.2871165008291874,0.1435582504145937,0.1435582504145937,0.2871165008291874,0.21533737562189056,0.21533737562189056,0.0,0.07177912520729685,0.07177912520729685,0.2871165008291874,0.1435582504145937,0.1435582504145937,0.0,0.07177912520729685,0.1435582504145937,0.0,0.07177912520729685,0.1435582504145937,0.07177912520729685,0.21533737562189056,0.1435582504145937,0.2871165008291874,0.1435582504145937,0.1435582504145937,0.0,0.1435582504145937,0.1435582504145937,0.07177912520729685,0.1435582504145937,0.21533737562189056,0.07177912520729685,0.07177912520729685,0.0,0.07177912520729685,0.07177912520729685,0.07177912520729685,0.21533737562189056,0.21533737562189056,0.0,0.0,0.0,0.21533737562189056,0.07177912520729685
DTW,0.0939158374792703,0.1878316749585406,0.23478959369817579,0.1878316749585406,0.14087375621890547,0.1878316749585406,0.04695791873963515,0.14087375621890547,0.0939158374792703,0.14087375621890547,0.14087375621890547,0.04695791873963515,0.0939158374792703,0.04695791873963515,0.0,0.14087375621890547,0.0939158374792703,0.14087375621890547,0.14087375621890547,0.0939158374792703,0.14087375621890547,0.0939158374792703,0.1878316749585406,0.14087375621890547,0.14087375621890547,0.0939158374792703,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.0939158374792703,0.0939158374792703,0.0939158374792703,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.0939158374792703,0.04695791873963515,0.04695791873963515,0.04695791873963515,0.0939158374792703,0.0,0.04695791873963515,0.0,0.04695791873963515
BWI,0.06856861525704809,0.10285292288557213,0.10285292288557213,0.10285292288557213,0.10285292288557213,0.10285292288557213,0.10285292288557213,0.06856861525704809,0.06856861525704809,0.13713723051409618,0.10285292288557213,0.06856861525704809,0.10285292288557213,0.034284307628524045,0.10285292288557213,0.0,0.10285292288557213,0.0,0.06856861525704809,0.06856861525704809,0.06856861525704809,0.034284307628524045,0.0,0.034284307628524045,0.06856861525704809,0.06856861525704809,0.06856861525704809,0.06856861525704809,0.06856861525704809,0.10285292288557213,0.10285292288557213,0.06856861525704809,0.0,0.034284307628524045,0.06856861525704809,0.06856861525704809,0.034284307628524045,0.06856861525704809,0.06856861525704809,0.06856861525704809,0.034284307628524045,0.0,0.06856861525704809,0.034284307628524045,0.0,0.06856861525704809,0.06856861525704809,0.034284307628524045,0.0,0.0
FLL,0.1394278606965174,0.1859038142620232,0.1859038142620232,0.1394278606965174,0.1859038142620232,0.1859038142620232,0.0929519071310116,0.1859038142620232,0.1394278606965174,0.0929519071310116,0.0929519071310116,0.0464759535655058,0.0929519071310116,0.1394278606965174,0.0929519071310116,0.1394278606965174,0.0,0.1394278606965174,0.0,0.23237976782752903,0.0929519071310116,0.0929519071310116,0.1394278606965174,0.0464759535655058,0.0464759535655058,0.0929519071310116,0.0,0.0464759535655058,0.0,0.1394278606965174,0.0,0.0464759535655058,0.0464759535655058,0.0929519071310116,0.0464759535655058,0.0929519071310116,0.0929519071310116,0.0464759535655058,0.0464759535655058,0.0464759535655058,0.0464759535655058,0.0464759535655058,0.0,0.0,0.0,0.0,0.0464759535655058,0.1859038142620232,0.0,0.0
DCA,0.08998756218905472,0.08998756218905472,0.059991708126036485,0.059991708126036485,0.08998756218905472,0.059991708126036485,0.08998756218905472,0.059991708126036485,0.08998756218905472,0.059991708126036485,0.059991708126036485,0.11998341625207297,0.08998756218905472,0.059991708126036485,0.08998756218905472,0.0,0.08998756218905472,0.0,0.059991708126036485,0.08998756218905472,0.08998756218905472,0.029995854063018242,0.08998756218905472,0.029995854063018242,0.0,0.059991708126036485,0.059991708126036485,0.08998756218905472,0.0,0.059991708126036485,0.029995854063018242,0.059991708126036485,0.0,0.0,0.059991708126036485,0.059991708126036485,0.029995854063018242,0.059991708126036485,0.029995854063018242,0.059991708126036485,0.08998756218905472,0.059991708126036485,0.0,0.0,0.029995854063018242,0.11998341625207297,0.029995854063018242,0.029995854063018242,0.0,0.0
MIA,0.16551616915422887,0.16551616915422887,0.16551616915422887,0.11034411276948591,0.16551616915422887,0.11034411276948591,0.16551616915422887,0.11034411276948591,0.11034411276948591,0.11034411276948591,0.11034411276948591,0.16551616915422887,0.11034411276948591,0.11034411276948591,0.16551616915422887,0.11034411276948591,0.0,0.11034411276948591,0.0,0.11034411276948591,0.11034411276948591,0.16551616915422887,0.16551616915422887,0.16551616915422887,0.0,0.11034411276948591,0.11034411276948591,0.0,0.11034411276948591,0.11034411276948591,0.0,0.11034411276948591,0.16551616915422887,0.11034411276948591,0.11034411276948591,0.0,0.0,0.11034411276948591,0.11034411276948591,0.11034411276948591,0.11034411276948591,0.11034411276948591,0.0,0.16551616915422887,0.0,0.0,0.0,0.11034411276948591,0.0,0.0
TPA,0.028298611111111108,0.11319444444444443,0.11319444444444443,0.08489583333333332,0.08489583333333332,0.08489583333333332,0.11319444444444443,0.08489583333333332,0.0,0.056597222222222215,0.056597222222222215,0.028298611111111108,0.028298611111111108,0.0,0.056597222222222215,0.056597222222222215,0.14149305555555555,0.08489583333333332,0.056597222222222215,0.0,0.056597222222222215,0.056597222222222215,0.056597222222222215,0.028298611111111108,0.056597222222222215,0.056597222222222215,0.0,0.056597222222222215,0.0,0.08489583333333332,0.0,0.056597222222222215,0.056597222222222215,0.0,0.056597222222222215,0.056597222222222215,0.028298611111111108,0.08489583333333332,0.028298611111111108,0.056597222222222215,0.028298611111111108,0.0,0.056597222222222215,0.0,0.0,0.0,0.056597222222222215,0.056597222222222215,0.0,0.0
STL,0.06024564676616915,0.06024564676616915,0.06024564676616915,0.04016376451077944,0.06024564676616915,0.06024564676616915,0.02008188225538972,0.06024564676616915,0.04016376451077944,0.04016376451077944,0.02008188225538972,0.06024564676616915,0.02008188225538972,0.02008188225538972,0.04016376451077944,0.04016376451077944,0.02008188225538972,0.06024564676616915,0.04016376451077944,0.04016376451077944,0.0,0.04016376451077944,0.08032752902155887,0.02008188225538972,0.04016376451077944,0.04016376451077944,0.02008188225538972,0.04016376451077944,0.02008188225538972,0.02008188225538972,0.02008188225538972,0.02008188225538972,0.02008188225538972,0.02008188225538972,0.04016376451077944,0.04016376451077944,0.0,0.0,0.02008188225538972,0.04016376451077944,0.02008188225538972,0.02008188225538972,0.04016376451077944,0.0,0.0,0.02008188225538972,0.02008188225538972,0.0,0.0,0.0
EWR,0.1199212271973466,0.1798818407960199,0.1199212271973466,0.1798818407960199,0.1199212271973466,0.2398424543946932,0.0,0.1199212271973466,0.1199212271973466,0.1798818407960199,0.0599606135986733,0.1199212271973466,0.1199212271973466,0.1199212271973466,0.1199212271973466,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.1798818407960199,0.1199212271973466,0.1199212271973466,0.0,0.0,0.0599606135986733,0.1199212271973466,0.1798818407960199,0.0599606135986733,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.0599606135986733,0.0599606135986733,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.0599606135986733,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.0599606135986733,0.1798818407960199,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.1199212271973466,0.0599606135986733,0.0599606135986733
LGA,0.0,0.19941956882255388,0.1595356550580431,0.1595356550580431,0.1595356550580431,0.0,0.0,0.07976782752902155,0.07976782752902155,0.11965174129353234,0.0,0.039883913764510774,0.11965174129353234,0.0,0.1595356550580431,0.0,0.11965174129353234,0.11965174129353234,0.11965174129353234,0.07976782752902155,0.1595356550580431,0.0,0.0,0.07976782752902155,0.07976782752902155,0.07976782752902155,0.0,0.039883913764510774,0.0,0.11965174129353234,0.0,0.1595356550580431,0.039883913764510774,0.0,0.11965174129353234,0.07976782752902155,0.0,0.039883913764510774,0.07976782752902155,0.11965174129353234,0.039883913764510774,0.1595356550580431,0.0,0.0,0.0,0.07976782752902155,0.039883913764510774,0.0,0.0,0.0
IAH,0.22695895522388057,0.22695895522388057,0.17021921641791044,0.17021921641791044,0.11347947761194029,0.17021921641791044,0.0,0.17021921641791044,0.11347947761194029,0.17021921641791044,0.11347947761194029,0.17021921641791044,0.05673973880597014,0.05673973880597014,0.17021921641791044,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.17021921641791044,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.11347947761194029,0.0,0.0,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.11347947761194029,0.05673973880597014,0.11347947761194029,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.05673973880597014,0.11347947761194029,0.05673973880597014,0.05673973880597014,0.11347947761194029,0.05673973880597014,0.05673973880597014,0.0,0.05673973880597014,0.05673973880597014,0.05673973880597014
MDW,0.05215588723051409,0.0,0.07823383084577114,0.0,0.07823383084577114,0.026077943615257046,0.0,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.10431177446102818,0.05215588723051409,0.05215588723051409,0.07823383084577114,0.05215588723051409,0.026077943615257046,0.0,0.0,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.0,0.0,0.05215588723051409,0.026077943615257046,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.026077943615257046,0.05215588723051409,0.0,0.05215588723051409,0.0,0.05215588723051409,0.05215588723051409,0.0,0.0,0.05215588723051409,0.0,0.05215588723051409,0.05215588723051409,0.05215588723051409,0.0,0.0,0.0
MSY,0.0533115671641791,0.0533115671641791,0.0710820895522388,0.0533115671641791,0.0533115671641791,0.0177705223880597,0.0533115671641791,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0177705223880597,0.0355410447761194,0.0177705223880597,0.0177705223880597,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0355410447761194,0.0533115671641791,0.0355410447761194,0.0177705223880597,0.0355410447761194,0.0,0.0177705223880597,0.0355410447761194,0.0,0.0,0.0177705223880597,0.0177705223880597,0.0177705223880597,0.0,0.0,0.0355410447761194,0.0355410447761194,0.0,0.0177705223880597,0.0,0.0177705223880597,0.0177705223880597,0.0,0.0,0.0,0.0,0.0355410447761194,0.0,0.0,0.0
SAN,0.1310219734660033,0.09826648009950247,0.1310219734660033,0.09826648009950247,0.09826648009950247,0.1310219734660033,0.1310219734660033,0.06551098673300165,0.032755493366500826,0.06551098673300165,0.09826648009950247,0.06551098673300165,0.06551098673300165,0.09826648009950247,0.032755493366500826,0.06551098673300165,0.0,0.06551098673300165,0.06551098673300165,0.0,0.032755493366500826,0.032755493366500826,0.0,0.032755493366500826,0.06551098673300165,0.06551098673300165,0.0,0.032755493366500826,0.09826648009950247,0.0,0.032755493366500826,0.032755493366500826,0.032755493366500826,0.0,0.0,0.0,0.032755493366500826,0.0,0.0,0.0,0.0,0.0,0.032755493366500826,0.032755493366500826,0.06551098673300165,0.0,0.032755493366500826,0.0,0.032755493366500826,0.032755493366500826
MCI,0.02978855721393034,0.04468283582089551,0.05957711442786068,0.02978855721393034,0.04468283582089551,0.04468283582089551,0.0,0.02978855721393034,0.02978855721393034,0.02978855721393034,0.01489427860696517,0.04468283582089551,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.04468283582089551,0.0,0.02978855721393034,0.02978855721393034,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.02978855721393034,0.02978855721393034,0.02978855721393034,0.0,0.01489427860696517,0.0,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.01489427860696517,0.0,0.02978855721393034,0.0,0.02978855721393034,0.01489427860696517,0.0,0.01489427860696517,0.0,0.0,0.0,0.01489427860696517,0.0,0.02978855721393034,0.0,0.0,0.0
